Stundenplan  SoSe 2013 Vers 1.25 vom  23.03.2013
Semestergruppe  B-AI1


12, 16
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-PR1,WND,1001,Di,8:15,11:30
BAI1-PRP1/01,WND/[Oel],1102,Do,8:15,11:30
BAI1-TSE/02,,1265,Do,16:00,19:00
BAI1-PRP1/04,WND,1104,Do,12:30,15:45
BAI1-TSE/01,,1065,Do,16:00,19:00
BAI1-MG,KLC,0360,Mi,8:15,11:30

21
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,0360,Mo,12:30,17:45
BAI1-MGÜ,KLC,0861,Mo,8:15,11:30
BAI1-PR1,WND,1001,Do,12:30,15:45
BAI1-PRP1/02,WND/[Oel],1102,Do,8:15,11:30
BAI1-TSE/02,,1265,Do,16:00,19:00
BAI1-PRP1/03,WND/[Oel],1101a,Mi,12:30,15:45
BAI1-TSE/01,,1065,Do,16:00,19:00
BAI1-MG,KLC,0360,Mi,8:15,11:30

22
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,0360,Mo,12:30,17:45
BAI1-MGÜ,KLC,0861,Mo,8:15,11:30
BAI1-PR1,WND,1001,Di,8:15,11:30
BAI1-PRP1/01,WND/[Oel],1102,Do,8:15,11:30
BAI1-TSE/02,,1265,Do,16:00,19:00
BAI1-PRP1/04,WND,1104,Do,12:30,15:45
BAI1-TSE/01,,1065,Do,16:00,19:00
BAI1-MG,KLC,0360,Mi,8:15,11:30

23
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,0360,Mo,12:30,17:45
BAI1-GI/GIÜ,BHM,1001,Di,12:30,17:45
BAI1-MGÜ,KLC,0861,Mo,8:15,11:30
BAI1-PR1,WND,1001,Di,8:15,11:30
BAI1-PR1,WND,1001,Do,12:30,15:45
BAI1-PRP1/02,WND/[Oel],1102,Do,8:15,11:30
BAI1-PRP1/03,WND/[Oel],1101a,Mi,12:30,15:45
BAI1-MG,KLC,0360,Mi,8:15,11:30
23
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,0360,Mo,12:30,17:45
BAI1-GI/GIÜ,BHM,1001,Di,12:30,17:45
BAI1-MGÜ,KLC,0861,Mo,8:15,11:30
BAI1-PR1,WND,1001,Di,8:15,11:30
BAI1-PR1,WND,1001,Do,12:30,15:45
BAI1-PRP1/02,WND/[Oel],1102,Do,8:15,11:30
BAI1-PRP1/03,WND/[Oel],1101a,Mi,12:30,15:45
BAI1-MG,KLC,0360,Mi,8:15,11:30

24, 26
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,0360,Mo,12:30,17:45
BAI1-GI/GIÜ,BHM,1001,Di,12:30,17:45
BAI1-MGÜ,KLC,0861,Mo,8:15,11:30
BAI1-PR1,WND,1001,Di,8:15,11:30
BAI1-PRP1/01,WND/[Oel],1102,Do,8:15,11:30
BAI1-PRP1/04,WND,1104,Do,12:30,15:45
BAI1-MG,KLC,0360,Mi,8:15,11:30
